panel,device_id,data_role,point_index,source_vector_drawing_index,source_marker_drawing_index,hot_side_temperature_k,series_delta_t_k,current_a,delta_t_max_k,qc_w,cop,source_id,source_pdf_page,source_printed_page,source_figure,measurement_uncertainty_status,independent_device_validation_eligible
A,SCI-DTMAX-7P-L6,figure_derived_measured_as_described_in_main_text,1,9,10,303.0005542807815,,,38.49850264773127,,,science_main,4,1059,Figure 4A,not_reported,false
A,SCI-DTMAX-7P-L6,figure_derived_measured_as_described_in_main_text,2,9,11,312.99700012778897,,,40.79707512483358,,,science_main,4,1059,Figure 4A,not_reported,false
A,SCI-DTMAX-7P-L6,figure_derived_measured_as_described_in_main_text,3,9,12,322.9942846467777,,,43.19665282993094,,,science_main,4,1059,Figure 4A,not_reported,false
A,SCI-DTMAX-7P-L6,figure_derived_measured_as_described_in_main_text,4,9,13,333.0070321804215,,,45.603808059068,,,science_main,4,1059,Figure 4A,not_reported,false
A,SCI-DTMAX-7P-L6,figure_derived_measured_as_described_in_main_text,5,9,14,343.00431669941025,,,48.10357476368674,,,science_main,4,1059,Figure 4A,not_reported,false
A,SCI-DTMAX-7P-L6,figure_derived_measured_as_described_in_main_text,6,9,15,353.0007625464177,,,50.60374349128506,,,science_main,4,1059,Figure 4A,not_reported,false
A,SCI-DTMAX-7P-L6,figure_derived_measured_as_described_in_main_text,7,9,16,362.9980470654064,,,53.10391221888338,,,science_main,4,1059,Figure 4A,not_reported,false
B,SCI-QC-7P-L0p4,figure_derived_measured_as_described_in_main_text,1,60,83,300.0,0.0,0.2998653437215921,,0.03923751005489606,,science_main,4,1059,Figure 4B,not_reported,false
B,SCI-QC-7P-L0p4,figure_derived_measured_as_described_in_main_text,2,60,82,300.0,0.0,0.40011079975614905,,0.08043722013970012,,science_main,4,1059,Figure 4B,not_reported,false
B,SCI-QC-7P-L0p4,figure_derived_measured_as_described_in_main_text,3,60,81,300.0,0.0,0.5001341409213751,,0.10938942139154051,,science_main,4,1059,Figure 4B,not_reported,false
B,SCI-QC-7P-L0p4,figure_derived_measured_as_described_in_main_text,4,60,80,300.0,0.0,1.0013972460731253,,0.31985165275364125,,science_main,4,1059,Figure 4B,not_reported,false
B,SCI-QC-7P-L0p4,figure_derived_measured_as_described_in_main_text,5,60,79,300.0,0.0,1.9987503294195221,,0.7099981582673394,,science_main,4,1059,Figure 4B,not_reported,false
B,SCI-QC-7P-L0p4,figure_derived_measured_as_described_in_main_text,6,60,78,300.0,0.0,3.0008036500011883,,1.1001479124571318,,science_main,4,1059,Figure 4B,not_reported,false
B,SCI-QC-7P-L0p4,figure_derived_measured_as_described_in_main_text,7,60,77,300.0,0.0,3.9983931782085023,,1.4695386264764494,,science_main,4,1059,Figure 4B,not_reported,false
B,SCI-QC-7P-L0p4,figure_derived_measured_as_described_in_main_text,8,60,76,300.0,0.0,5.0004464987901684,,1.839033298130417,,science_main,4,1059,Figure 4B,not_reported,false
B,SCI-QC-7P-L0p4,figure_derived_measured_as_described_in_main_text,9,60,75,300.0,0.0,5.998036026997482,,2.1899033098004637,,science_main,4,1059,Figure 4B,not_reported,false
B,SCI-QC-7P-L0p4,figure_derived_measured_as_described_in_main_text,10,60,74,300.0,0.0,7.000089347579163,,2.5201182389346926,,science_main,4,1059,Figure 4B,not_reported,false
