point_id,series_key,material_id,carrier_type,cr_mole_fraction,point_index,temperature_k,total_thermal_conductivity_w_m_k,marker_center_x_px,marker_center_y_px,marker_encoding,marker_center_method,marker_visibility,digitization_uncertainty_px,temperature_digitization_uncertainty_k,thermal_conductivity_digitization_uncertainty_w_m_k,source_measurement_relative_uncertainty_upper_bound,measurement_and_digitization_uncertainties_combined,data_role,source_id,source_pdf_sha256,pdf_page_one_based,printed_page,figure,panel,source_image_sha256,independent_device_validation_eligible
S9A-p-01,p,PbSe+0.001Cr,p,0.001000,1,300.177230234,1.663915346,164.000,196.000,red filled circle,partially_visible_marker_centre,partially_occluded_centre_visible,2.0,1.525468201,0.016122821,0.15,false,figure_derived_candidate_measured_as_described_in_si,science_si,d633afd285f385a95f5c20655654f6bd014fa32d370630b4e22ca0af32d974a5,17,S17,Figure S9,A,4f4fa77c94cf45ff404ed0144e5f96bb890d12ac68a7b97dfa549d684861610e,false
S9A-p-02,p,PbSe+0.001Cr,p,0.001000,2,323.059253253,1.607485473,194.000,203.000,red filled circle,partially_visible_marker_centre,partially_occluded_centre_visible,2.0,1.525468201,0.016122821,0.15,false,figure_derived_candidate_measured_as_described_in_si,science_si,d633afd285f385a95f5c20655654f6bd014fa32d370630b4e22ca0af32d974a5,17,S17,Figure S9,A,4f4fa77c94cf45ff404ed0144e5f96bb890d12ac68a7b97dfa549d684861610e,false
S9A-p-03,p,PbSe+0.001Cr,p,0.001000,3,373.018336844,1.454318674,259.500,222.000,red filled circle,two_sided_red_curve_fragment_interpolation_at_shared_marker_abscissa,marker_centre_overdrawn_two_sided_curve_fragments_visible,3.0,2.288202302,0.024184231,0.15,false,figure_derived_candidate_measured_as_described_in_si,science_si,d633afd285f385a95f5c20655654f6bd014fa32d370630b4e22ca0af32d974a5,17,S17,Figure S9,A,4f4fa77c94cf45ff404ed0144e5f96bb890d12ac68a7b97dfa549d684861610e,false
S9A-p-04,p,PbSe+0.001Cr,p,0.001000,4,422.977420435,1.305182581,325.000,240.500,red filled circle,two_sided_red_curve_fragment_interpolation_at_shared_marker_abscissa,marker_centre_overdrawn_two_sided_curve_fragments_visible,3.0,2.288202302,0.024184231,0.15,false,figure_derived_candidate_measured_as_described_in_si,science_si,d633afd285f385a95f5c20655654f6bd014fa32d370630b4e22ca0af32d974a5,17,S17,Figure S9,A,4f4fa77c94cf45ff404ed0144e5f96bb890d12ac68a7b97dfa549d684861610e,false
S9A-p-05,p,PbSe+0.001Cr,p,0.001000,5,472.936504026,1.192322835,390.500,254.500,red filled circle,two_sided_red_curve_fragment_interpolation_at_shared_marker_abscissa,marker_centre_overdrawn_two_sided_curve_fragments_visible,3.0,2.288202302,0.024184231,0.15,false,figure_derived_candidate_measured_as_described_in_si,science_si,d633afd285f385a95f5c20655654f6bd014fa32d370630b4e22ca0af32d974a5,17,S17,Figure S9,A,4f4fa77c94cf45ff404ed0144e5f96bb890d12ac68a7b97dfa549d684861610e,false
S9A-p-06,p,PbSe+0.001Cr,p,0.001000,6,522.895587617,1.103647320,456.000,265.500,red filled circle,two_sided_red_curve_fragment_interpolation_at_shared_marker_abscissa,marker_centre_overdrawn_two_sided_curve_fragments_visible,3.0,2.288202302,0.024184231,0.15,false,figure_derived_candidate_measured_as_described_in_si,science_si,d633afd285f385a95f5c20655654f6bd014fa32d370630b4e22ca0af32d974a5,17,S17,Figure S9,A,4f4fa77c94cf45ff404ed0144e5f96bb890d12ac68a7b97dfa549d684861610e,false
S9A-p-07,p,PbSe+0.001Cr,p,0.001000,7,573.236038259,1.043186741,522.000,273.000,red filled circle,one_sided_red_curve_extrapolation_constrained_by_visible_marker_arc,marker_centre_overdrawn_left_curve_and_marker_arc_visible,3.0,2.288202302,0.024184231,0.15,false,figure_derived_candidate_measured_as_described_in_si,science_si,d633afd285f385a95f5c20655654f6bd014fa32d370630b4e22ca0af32d974a5,17,S17,Figure S9,A,4f4fa77c94cf45ff404ed0144e5f96bb890d12ac68a7b97dfa549d684861610e,false
S9A-n-01,n,PbSe+0.005Cr,n,0.005000,1,300.177230234,1.619577588,164.000,201.500,green open downward triangle,triangle_geometry_centre_from_visible_sides,partially_occluded_centre_resolvable,2.0,1.525468201,0.016122821,0.15,false,figure_derived_candidate_measured_as_described_in_si,science_si,d633afd285f385a95f5c20655654f6bd014fa32d370630b4e22ca0af32d974a5,17,S17,Figure S9,A,4f4fa77c94cf45ff404ed0144e5f96bb890d12ac68a7b97dfa549d684861610e,false
S9A-n-02,n,PbSe+0.005Cr,n,0.005000,2,323.059253253,1.563147715,194.000,208.500,green open downward triangle,triangle_geometry_centre_from_visible_sides,partially_occluded_centre_resolvable,2.0,1.525468201,0.016122821,0.15,false,figure_derived_candidate_measured_as_described_in_si,science_si,d633afd285f385a95f5c20655654f6bd014fa32d370630b4e22ca0af32d974a5,17,S17,Figure S9,A,4f4fa77c94cf45ff404ed0144e5f96bb890d12ac68a7b97dfa549d684861610e,false
S9A-n-03,n,PbSe+0.005Cr,n,0.005000,3,373.018336844,1.434165148,259.500,224.500,green open downward triangle,triangle_geometry_centre_from_visible_sides,partially_occluded_centre_resolvable,2.0,1.525468201,0.016122821,0.15,false,figure_derived_candidate_measured_as_described_in_si,science_si,d633afd285f385a95f5c20655654f6bd014fa32d370630b4e22ca0af32d974a5,17,S17,Figure S9,A,4f4fa77c94cf45ff404ed0144e5f96bb890d12ac68a7b97dfa549d684861610e,false
