panel,property_id,composition_label,x_cr,carrier,ordinal,temperature_raw_k,temperature_nominal_k,display_value_raw,display_unit,si_value_raw,si_unit,source_marker_drawing_index,source_marker_sha256,data_role,independent_device_validation_eligible
C,electrical_conductivity,x=0,0,p-type,1,299.98311817456363,300,14.854147471906046,10^2 S cm^-1,148541.47471906047,S m^-1,85,79f63c3838719a09efabf2897a23a9948f47289362366fca855c621a37872566,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0,0,p-type,2,323.00659104076215,323,12.591450956262321,10^2 S cm^-1,125914.50956262321,S m^-1,86,b9f0bbed65aeec89b13ca91a52ebfeedfb357510277afa0ea3ffbf8bddcaa6ce,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0,0,p-type,3,373.01468165713936,373,8.2232948429173405,10^2 S cm^-1,82232.948429173412,S m^-1,87,8313a3fee2b7a870b20f0d5e5c8d728c37252c9dbbab70ef3af98139b480a2a6,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0,0,p-type,4,423.02271081801814,423,5.9359744456422447,10^2 S cm^-1,59359.74445642245,S m^-1,88,e951f3574d8daf92097c93639f73e0c7ac32a0c9e901eec9271dec290e32e77b,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0,0,p-type,5,473.03073997889692,473,3.7559784413380584,10^2 S cm^-1,37559.784413380585,S m^-1,89,a7437555ae465d66ac4107b7e67767c8667dad03acf4ff524262e6b7c7056314,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0,0,p-type,6,523.04082789897564,523,2.6205515934484538,10^2 S cm^-1,26205.515934484538,S m^-1,90,1dfc069e422e33c3dd7b4a32c7dd0b141b124f56b4540c1a1e5fa678657e134b,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0,0,p-type,7,573.04679830065436,573,1.6171768891781397,10^2 S cm^-1,16171.768891781398,S m^-1,91,3addb1024bf441db0bcce00be8e9a8a2e48740fcf77527fd0ad3d6e68c2e0ef1,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.001,0.001,p-type,1,299.99802113295152,300,8.5489484473326343,10^2 S cm^-1,85489.484473326345,S m^-1,93,d1e97d32560ba1a5eebf33b61d455eb8930af21d6c3e890774b103ccd34a9bac,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.001,0.001,p-type,2,323.01949669544854,323,6.9969272083391019,10^2 S cm^-1,69969.272083391013,S m^-1,94,c33c1653feb3dc1eef985f5ddd86091d08a12d78e02d638adab9af62e7b23876,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.001,0.001,p-type,3,373.02147248972437,373,4.5076508190002187,10^2 S cm^-1,45076.508190002191,S m^-1,95,a6e955624e34a7b2343e20eb4e65b3d78dd1b3fe7019eac1fc21b51a33387de3,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.001,0.001,p-type,4,423.01945367659732,423,2.9555222486891211,10^2 S cm^-1,29555.222486891209,S m^-1,96,41e30a2c571649acf2e91d6c4ad9783d57dce63f1236a6baa7b4a3bdca3c2b96,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.001,0.001,p-type,5,473.02149092637171,473,2.0061317348569787,10^2 S cm^-1,20061.317348569788,S m^-1,97,0c452a05ba476368b39dd8187a5990b90f4ca5460311fd803c1972dc166dbfb9,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.001,0.001,p-type,6,523.02153087244449,523,1.3662708917003528,10^2 S cm^-1,13662.708917003527,S m^-1,98,fd7e014f087d0697d03cd33ec89c4a1682f2596af01ff0158077dba89356986d,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.001,0.001,p-type,7,573.02141717977122,573,0.92458520838853531,10^2 S cm^-1,9245.8520838853528,S m^-1,99,8251bc37b0a9e335de208bbbb484332bb8d7773b69453ac84da378518ec3f82c,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.003,0.0030000000000000001,p-type,1,299.97457586027133,300,7.452279746088422,10^2 S cm^-1,74522.79746088422,S m^-1,101,1e4a5ecb7ee10728d75986fdc5df050516606915e406dea94e60091fc70a8936,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.003,0.0030000000000000001,p-type,2,322.99598996726979,323,6.3666892525579328,10^2 S cm^-1,63666.892525579329,S m^-1,102,1b691592cdccc3c361a35cc94825ed6c8fcc4dc14dea07534cec560c741be853,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.003,0.0030000000000000001,p-type,3,372.99532317510989,373,4.0055110595910008,10^2 S cm^-1,40055.11059591001,S m^-1,103,e7831a4e0cda0bdd832e51f7a5c38b88e707d431588e8b2e9a1ff1935877157a,primary_article_figure_derived_source_object_candidate,false
