material_id,branch,temperature_k,seebeck_uv_per_k,seebeck_pixel_x,seebeck_pixel_y,seebeck_axis_y_top_px,seebeck_axis_y_bottom_px,seebeck_axis_top_uv_per_k,seebeck_axis_bottom_uv_per_k,sigma_1e3_s_per_cm,sigma_pixel_x,sigma_pixel_y,sigma_axis_y_top_px,sigma_axis_y_bottom_px,sigma_axis_top_1e3_s_per_cm,sigma_axis_bottom_1e3_s_per_cm,kappa_w_per_m_k,kappa_pixel_x,kappa_pixel_y,kappa_axis_y_top_px,kappa_axis_y_bottom_px,kappa_axis_top_w_per_m_k,kappa_axis_bottom_w_per_m_k,seebeck_source,sigma_source,kappa_source,data_role
BTS_plus_0p2pct_Cu,n,300,-208.719424,503,70.54,21,160,-280,-80,1.392230,59,63.24,21,160,2,0,1.432629,101,143.21,22,254,3,0,article_Fig2c,article_Fig2a,article_Fig5a,primary_article_figure_derived_candidate
BTS_plus_0p2pct_Cu,n,323,-218.086331,519,64.03,21,160,-280,-80,1.265036,74,72.08,21,160,2,0,1.411681,126,144.83,22,254,3,0,article_Fig2c,article_Fig2a,article_Fig5a,primary_article_figure_derived_candidate
BTS_plus_0p2pct_Cu,n,373,-227.424460,550,57.54,21,160,-280,-80,1.041439,105,87.62,21,160,2,0,1.448922,177,141.95,22,254,3,0,article_Fig2c,article_Fig2a,article_Fig5a,primary_article_figure_derived_candidate
BTS_plus_0p2pct_Cu,n,423,-223.179856,580,60.49,21,160,-280,-80,0.897842,135,97.60,21,160,2,0,1.570474,229,132.55,22,254,3,0,article_Fig2c,article_Fig2a,article_Fig5a,primary_article_figure_derived_candidate
BTS_plus_0p2pct_Cu,n,473,-206.460432,611,72.11,21,160,-280,-80,0.841295,166,101.53,21,160,2,0,1.784483,280,116.00,22,254,3,0,article_Fig2c,article_Fig2a,article_Fig5a,primary_article_figure_derived_candidate
BTS_plus_0p2pct_Cu,n,523,-188.719424,642,84.44,21,160,-280,-80,0.828345,197,102.43,21,160,2,0,2.079052,332,93.22,22,254,3,0,article_Fig2c,article_Fig2a,article_Fig5a,primary_article_figure_derived_candidate
commercial_BST,p,300,180.991736,522,169.00,73,315,300,0,1.502562,127,133.19,73,315,2,0,1.479091,127,509.06,383,625,2,1,supplement_FigS9b,supplement_FigS9a,supplement_FigS9d,primary_supplement_figure_derived_candidate
commercial_BST,p,323,185.268595,549,165.55,73,315,300,0,1.359008,154,150.56,73,315,2,0,1.463430,154,512.85,383,625,2,1,supplement_FigS9b,supplement_FigS9a,supplement_FigS9d,primary_supplement_figure_derived_candidate
commercial_BST,p,373,190.252066,603,161.53,73,315,300,0,1.132479,208,177.97,73,315,2,0,1.519421,208,499.30,383,625,2,1,supplement_FigS9b,supplement_FigS9a,supplement_FigS9d,primary_supplement_figure_derived_candidate
commercial_BST,p,423,189.595041,658,162.06,73,315,300,0,0.979669,263,196.46,73,315,2,0,1.620661,263,474.80,383,625,2,1,supplement_FigS9b,supplement_FigS9a,supplement_FigS9d,primary_supplement_figure_derived_candidate
commercial_BST,p,473,176.057851,713,172.98,73,315,300,0,0.905455,318,205.44,73,315,2,0,1.742727,318,445.26,383,625,2,1,supplement_FigS9b,supplement_FigS9a,supplement_FigS9d,primary_supplement_figure_derived_candidate
commercial_BST,p,523,161.206612,768,184.96,73,315,300,0,0.888347,373,207.51,73,315,2,0,1.873430,373,413.63,383,625,2,1,supplement_FigS9b,supplement_FigS9a,supplement_FigS9d,primary_supplement_figure_derived_candidate
