material_family,scenario_family,scenario_id,variant,current_a,leg,signed_branch_current_a,temperature_minimum_k,temperature_maximum_k,c1_minimum,c1_maximum,c0_minimum,c0_maximum,integrating_factor_ratio,positive_c0_supremum,poincare_eta,coercivity_margin_lower_bound,liouville_potential_minimum,liouville_potential_maximum,liouville_poincare_eta,liouville_coercivity_margin_lower_bound,at_least_one_analytic_sufficient_condition_passes,homogeneous_shooting_determinant,homogeneous_shooting_determinant_absolute,baseline_energy_residual_fraction
PbSe/Cr,primary_reference_state,nominal_transport,original,2.8106854181890806,p,2.8106854181890806,309.894134846523,369.34914823144874,0.4355490100732222,0.5551929427329001,1.2199491768678876,2.2600476899565862,1.693607422551522,2.2600476899565862,0.38782036112900536,0.6121796388709946,1.0489687706756243,2.183406668971246,0.22122534807274064,0.7787746519272594,True,0.5507157865837015,0.5507157865837015,0.0
PbSe/Cr,primary_reference_state,nominal_transport,original,2.8106854181890806,n,-2.8106854181890806,309.894134846523,365.00442604936535,0.33817101162140295,0.4264439939396215,0.648272158236615,1.3071406705662403,1.4871037730563004,1.3071406705662403,0.19695357018563434,0.8030464298143657,0.5422759982859633,1.2903326157932562,0.13073802792448658,0.8692619720755135,True,0.6787111026791504,0.6787111026791504,1.0963315632808978e-16
PbSe/Cr,primary_reference_state,nominal_transport,alpha_preserving_flattened,2.8106854181890806,p,2.8106854181890806,309.894134846523,369.7010861810162,0.3821969746178181,0.49261806977196565,1.2199491768678876,2.264517146368103,1.5876670344270194,2.264517146368103,0.36427997273999674,0.6357200272600032,1.0774779488784403,2.2084354614236896,0.2237612949491606,0.7762387050508394,True,0.5657662078163748,0.5657662078163748,0.0
PbSe/Cr,primary_reference_state,nominal_transport,alpha_preserving_flattened,2.8106854181890806,n,-2.8106854181890806,309.894134846523,364.7923051814307,0.3930361156670032,0.49369851714546287,0.648272158236615,1.307140585734349,1.590344913596543,1.307140585734349,0.21062692053278043,0.7893730794672196,0.516040298851369,1.2650721582420006,0.12817860846604634,0.8718213915339537,True,0.6590648736551457,0.6590648736551457,2.1718171838661383e-16
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.5,p,-3.5,309.894134846523,402.6564473872021,-0.7423386625071641,-0.5423664723882403,1.8917047132572404,4.915012754626884,2.0048439373251288,4.915012754626884,0.9984020759638321,0.0015979240361678748,2.1608503925840554,4.791921824039141,0.48552319113319603,0.5144768088668039,True,0.6118203438435446,0.6118203438435446,1.059190847626421e-16
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.5,n,3.5,309.894134846523,380.71819622367696,-0.5728297349332879,-0.4211067282789338,1.0052381857071842,2.026897430244857,1.6977075927453726,2.026897430244857,0.3486542131985522,0.6513457868014478,1.1364979956146202,2.0977829000191996,0.21254984645460123,0.7874501535453988,True,0.9366335874085284,0.9366335874085284,0.0
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.5,p,-3.5,309.894134846523,402.0208245492068,-0.6832619189752428,-0.4759299644512456,1.8917047132572404,4.8860525770191074,1.8719938511442407,4.8860525770191074,0.9267504561315221,0.07324954386847793,2.115961907647157,4.782872236537402,0.48460627621604496,0.515393723783955,True,0.5906533341475388,0.5906533341475388,0.0
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.5,n,3.5,309.894134846523,381.13154691535556,-0.6406619114292553,-0.4894273816387552,1.0052381857071842,2.0269074089081984,1.8348106684109906,2.0269074089081984,0.37681260429603,0.62318739570397,1.167697241847791,2.039732059480165,0.20666806657975365,0.7933319334202463,True,0.9792477111490818,0.9792477111490818,6.390182436776341e-17
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.45,p,-3.45,309.894134846523,399.5362325391248,-0.7229192356589553,-0.5346183799255513,1.838042069350556,4.636425390890059,1.9766604514576347,4.636425390890059,0.9285720413773461,0.07142795862265394,2.091401720102393,4.516746736933277,0.4576421255987465,0.5423578744012535,True,0.6425220456521207,0.6425220456521207,1.0898999600979766e-16
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.45,n,3.45,309.894134846523,379.4899724004493,-0.5613858562606078,-0.415090917874949,0.9767222453371234,1.9694024042404463,1.6810863656647732,1.9694024042404463,0.33544764265431104,0.664552357345689,1.1023288486874263,2.0334669104412963,0.20603327426343981,0.7939667257365601,True,0.9407820926350973,0.9407820926350973,0.0
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.45,p,-3.45,309.894134846523,398.93427789879433,-0.6648940942695436,-0.469130964959085,1.838042069350556,4.609326409081574,1.846357045175446,4.609326409081574,0.8622901124569554,0.13770988754304458,2.0493106649610637,4.5100858212654815,0.45696723373914366,0.5430327662608563,True,0.6202133398718271,0.6202133398718271,2.2083114712137255e-16
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.45,n,3.45,309.894134846523,379.8929186780785,-0.6293042113358022,-0.48243556190105874,0.9767222453371234,1.9694069178318419,1.8160066555139398,1.9694069178318419,0.36237076227726694,0.637629237722733,1.1321002565851173,1.9782932782437508,0.2004430165433375,0.7995569834566625,True,0.9831283647873194,0.9831283647873194,1.304034535578631e-16
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.4,p,-3.4,309.894134846523,396.6820291243886,-0.7052860259904283,-0.526870287462862,1.7851515498166282,4.377750354460211,1.9503484306483634,4.377750354460211,0.8650943023257742,0.13490569767422578,2.0239672534024247,4.261709647943393,0.43180146586959517,0.5681985341304048,True,0.6711603494521184,0.6711603494521184,0.0
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.4,n,3.4,309.894134846523,378.30879223144547,-0.550169454203347,-0.4090751074709642,0.9486166062673509,1.9127301832360266,1.6648593970803305,1.9127301832360266,0.3226498945882978,0.6773501054117022,1.0687993625518881,1.970354001618235,0.1996385996383763,0.8003614003616237,True,0.9448669046948176,0.9448669046948176,6.729997815844467e-17
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.4,p,-3.4,309.894134846523,396.11042246454707,-0.6478816688962492,-0.46233196546692434,1.7851515498166282,4.352554572590833,1.8222865686814262,4.352554572590833,0.8036392761810949,0.19636072381890513,1.984443655249006,4.257155599124617,0.4313400442529118,0.5686599557470882,True,0.6477770045278927,0.6477770045278927,1.1349876982362026e-16
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.4,n,3.4,309.894134846523,378.7013663889348,-0.61815481218246,-0.4754437421633622,0.9486166062673509,1.9127355756361266,1.7975835488472482,1.9127355756361266,0.3483728287710164,0.6516271712289836,1.0972032333860622,1.9179473985636344,0.19432870058621002,0.80567129941379,True,0.9869178067483282,0.9869178067483282,6.653123740379723e-17
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.35,p,-3.35,309.894134846523,394.05564866202093,-0.6890675289601551,-0.5191221950001729,1.7330331546554598,4.13741245217355,1.925537548508564,4.13741245217355,0.8071998336070829,0.19280016639291708,1.958383988790623,4.025042798736755,0.407822100579076,0.592177899420924,True,0.6978782148060693,0.6978782148060693,0.0
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.35,n,3.35,309.894134846523,377.1740410691399,-0.5391721337662928,-0.40305929706697946,0.9209212684978674,1.856893952401814,1.649008740580365,1.856893952401814,0.3102489454899975,0.6897510545100025,1.0359006913418418,1.908449226224146,0.19336633452233412,0.8066336654776659,True,0.9488901646888392,0.9488901646888392,0.0
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.35,p,-3.35,309.894134846523,393.51126428987516,-0.6319812967079995,-0.4555329659747636,1.7330331546554598,4.114065768907232,1.799520331801077,4.114065768907232,0.7501156780608401,0.24988432193915988,1.9212289268381415,4.022380725392788,0.40755237615692247,0.5924476238430776,True,0.6734971311299836,0.6734971311299836,1.1659293170148307e-16
